ID,Producto/ID externo,Nombre,Se puede vender,Se puede comprar,detailed_type,Política de facturación,Unidad de medida/ID externo,Categoria de la unidad de medida (No Importar),Unidad de medida (No Importar),UdM de compra/ID externo,UdM de compra (No Importar),Categoría del producto/ID externo,seller_ids/id,Proveedores/Proveedor,Proveedores/Divisa,Proveedores/Cantidad,Proveedores/Plazo de entrega,Proveedores/Precio
__export__.product_template_papel_ahuesado_80gr_72x92cm,__export__.product_product_papel_ahuesado_80gr_72x92cm,Papel Ahuesado 80gr. 72x92cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_ahuesado_80gr_72x92cm_copapsa_42,COPAPSA,USD,42,1,878.85
__export__.product_template_papel_ahuesado_80gr_72x102cm,__export__.product_product_papel_ahuesado_80gr_72x102cm,Papel Ahuesado 80gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_ahuesado_80gr_72x102cm_copapsa_42,COPAPSA,USD,42,1,974.4
__export__.product_template_papel_coteado_90gr_66x96cm,__export__.product_product_papel_coteado_90gr_66x96cm,Papel Coteado 90gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_90gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,20.6750
__export__.product_template_papel_coteado_90gr_72x102cm,__export__.product_product_papel_coteado_90gr_72x102cm,Papel Coteado 90gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_90gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,23.9750
__export__.product_template_papel_coteado_90gr_70x100cm,__export__.product_product_papel_coteado_90gr_70x100cm,Papel Coteado 90gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_90gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,22.8500
__export__.product_template_papel_coteado_90gr_82x118cm,__export__.product_product_papel_coteado_90gr_82x118cm,Papel Coteado 90gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_90gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,31.6000
__export__.product_template_papel_coteado_115gr_66x96cm,__export__.product_product_papel_coteado_115gr_66x96cm,Papel Coteado 115gr. 66x96cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_115gr_66x96cm_sammel_sa_1,SAMMEL SA,USD,1,1,26.4250
__export__.product_template_papel_coteado_115gr_72x102cm,__export__.product_product_papel_coteado_115gr_72x102cm,Papel Coteado 115gr. 72x102cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_115gr_72x102cm_sammel_sa_1,SAMMEL SA,USD,1,1,30.6250
__export__.product_template_papel_coteado_115gr_70x100cm,__export__.product_product_papel_coteado_115gr_70x100cm,Papel Coteado 115gr. 70x100cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_115gr_70x100cm_sammel_sa_1,SAMMEL SA,USD,1,1,29.2000
__export__.product_template_papel_coteado_115gr_82x118cm,__export__.product_product_papel_coteado_115gr_82x118cm,Papel Coteado 115gr. 82x118cm,FALSE,TRUE,Almacenable,Cantidades pedidas,__export__.uom_uom_hojas_hoja,Hojas,Hoja,__export__.uom_uom_hojas_paquete_de_250_hojas,Paquete de 250 Hojas,__export__.product_category_materia_prima_papel,__export__.product_supplierinfo_papel_coteado_115gr_82x118cm_sammel_sa_1,SAMMEL SA,USD,1,1,40.3750
